EUR/USD,20180903 09:52:42.971,1.16041,1.16044
EUR/USD,20180903 09:57:43.134,1.16011,1.16014
EUR/USD,20180903 10:02:43.257,1.15963,1.15965
EUR/USD,20180903 10:07:48.157,1.16032,1.16035
EUR/USD,20180903 10:12:54.447,1.16015,1.1601700000000001
EUR/USD,20180903 10:17:54.483,1.16048,1.16051
EUR/USD,20180903 10:22:54.817,1.1607299999999998,1.16077
EUR/USD,20180903 10:27:57.782,1.16066,1.1607
EUR/USD,20180903 10:32:58.655,1.16095,1.16098
EUR/USD,20180903 10:37:58.703,1.16135,1.16137
EUR/USD,20180903 10:42:59.587,1.16129,1.16135
EUR/USD,20180903 10:48:01.750,1.16134,1.1613799999999999
EUR/USD,20180903 10:53:03.085,1.16146,1.16149
EUR/USD,20180903 10:58:05.807,1.16154,1.16157
EUR/USD,20180903 11:03:09.502,1.16141,1.1614799999999998
EUR/USD,20180903 11:08:09.754,1.16154,1.16157
EUR/USD,20180903 11:13:10.962,1.16141,1.16144
EUR/USD,20180903 11:18:11.147,1.1615799999999998,1.1616
EUR/USD,20180903 11:23:11.149,1.1612799999999999,1.16131
EUR/USD,20180903 11:28:12.378,1.16145,1.1614799999999998
EUR/USD,20180903 11:33:15.322,1.1614200000000001,1.16145
EUR/USD,20180903 11:38:15.422,1.16183,1.1618700000000002
EUR/USD,20180903 11:43:15.924,1.1618899999999999,1.16192
EUR/USD,20180903 11:48:15.980,1.16163,1.16167
EUR/USD,20180903 11:53:18.820,1.16143,1.16146
EUR/USD,20180903 11:58:20.078,1.1610200000000002,1.16105
EUR/USD,20180903 12:03:20.259,1.1612,1.16123
EUR/USD,20180903 12:08:22.210,1.16105,1.16107
EUR/USD,20180903 12:13:22.307,1.16062,1.16066
EUR/USD,20180903 12:18:25.331,1.16103,1.16105
EUR/USD,20180903 12:23:25.369,1.16119,1.16123
EUR/USD,20180903 12:28:25.608,1.16124,1.1612799999999999
EUR/USD,20180903 12:33:26.088,1.16111,1.16114
EUR/USD,20180903 12:38:28.084,1.16117,1.16119
EUR/USD,20180903 12:43:28.352,1.16152,1.16156
EUR/USD,20180903 12:48:29.788,1.16121,1.16125
EUR/USD,20180903 12:53:31.002,1.16108,1.1611200000000002
EUR/USD,20180903 12:58:34.633,1.1605299999999998,1.16056
EUR/USD,20180903 13:03:35.647,1.1606100000000001,1.1606299999999998
EUR/USD,20180903 13:08:36.783,1.16058,1.1606
EUR/USD,20180903 13:13:41.833,1.16096,1.16099
EUR/USD,20180903 13:18:42.198,1.1611799999999999,1.1612200000000001
EUR/USD,20180903 13:23:45.279,1.16125,1.16129
EUR/USD,20180903 13:28:48.018,1.16129,1.1613
EUR/USD,20180903 13:33:49.043,1.16116,1.16119
EUR/USD,20180903 13:38:52.089,1.1612,1.1612200000000001
EUR/USD,20180903 13:43:52.228,1.16095,1.16097
EUR/USD,20180903 13:48:54.983,1.1608399999999999,1.16087
EUR/USD,20180903 13:53:58.841,1.16108,1.1611200000000002
EUR/USD,20180903 13:59:05.131,1.1610200000000002,1.16107
EUR/USD,20180903 14:04:08.568,1.16108,1.1611
EUR/USD,20180903 14:09:18.269,1.16106,1.1611
EUR/USD,20180903 14:14:20.130,1.1613799999999999,1.16143
EUR/USD,20180903 14:19:25.585,1.16113,1.1611799999999999
EUR/USD,20180903 14:24:29.110,1.16106,1.16109
